Driver,LapNumber,RaceName_x,Year_x,TyreLife,PitInTime,AirTemp,TrackTemp,Humidity,Position,Compound_label,LapTime_label,Sector1Time_label,Sector2Time_label,Sector3Time_label,PitInTime_label,PitOutTime_label,FreshTyre_encoded,Rainfall_encoded,NextPit
ALB,1.0,70th Anniversary,2019,1.0,NaT,25.9,43.2,36.1,13.0,2,16178,14560,7318,4174,1250,1214,1,0,27.0
ALB,2.0,70th Anniversary,2019,2.0,NaT,26.0,42.9,34.9,13.0,2,11046,9173,5758,3506,1250,1214,1,0,26.0
ALB,3.0,70th Anniversary,2019,3.0,NaT,26.0,41.8,34.5,13.0,2,10220,8952,5122,3396,1250,1214,1,0,25.0
ALB,4.0,70th Anniversary,2019,4.0,NaT,25.8,41.3,35.2,13.0,2,9845,8386,5348,3313,1250,1214,1,0,24.0
ALB,5.0,70th Anniversary,2019,5.0,NaT,25.5,40.9,35.8,13.0,2,9603,8425,4959,3381,1250,1214,1,0,23.0
ALB,6.0,70th Anniversary,2019,6.0,NaT,25.4,40.7,36.0,12.0,2,9979,8583,5091,3526,1250,1214,1,0,22.0
ALB,7.0,70th Anniversary,2019,7.0,NaT,25.3,40.3,36.2,12.0,2,9773,8477,5026,3457,1250,1214,1,0,21.0
ALB,8.0,70th Anniversary,2019,8.0,NaT,25.0,39.4,37.0,12.0,2,9629,8590,4779,3425,1250,1214,1,0,20.0
ALB,9.0,70th Anniversary,2019,9.0,NaT,25.0,39.3,37.1,12.0,2,9575,8662,4679,3393,1250,1214,1,0,19.0
ALB,10.0,70th Anniversary,2019,10.0,NaT,25.0,38.9,37.1,12.0,2,9241,8572,4552,3234,1250,1214,1,0,18.0
ALB,11.0,70th Anniversary,2019,11.0,NaT,25.3,40.0,36.4,12.0,2,9636,8324,5248,3230,1250,1214,1,0,17.0
ALB,12.0,70th Anniversary,2019,12.0,NaT,25.6,41.5,35.9,12.0,2,9269,8608,4586,3196,1250,1214,1,0,16.0
ALB,13.0,70th Anniversary,2019,13.0,NaT,25.5,42.7,35.1,12.0,2,9680,8596,4958,3299,1250,1214,1,0,15.0
ALB,14.0,70th Anniversary,2019,14.0,NaT,25.1,42.9,35.4,12.0,2,9550,8343,4991,3374,1250,1214,1,0,14.0
ALB,15.0,70th Anniversary,2019,15.0,NaT,24.8,43.5,36.6,12.0,2,9475,8461,4774,3387,1250,1214,1,0,13.0
ALB,16.0,70th Anniversary,2019,16.0,NaT,25.1,43.7,36.2,12.0,2,9512,8618,4796,3249,1250,1214,1,0,12.0
ALB,17.0,70th Anniversary,2019,17.0,NaT,25.2,44.1,36.2,12.0,2,9674,8641,4794,3413,1250,1214,1,0,11.0
ALB,18.0,70th Anniversary,2019,18.0,NaT,25.8,44.6,34.6,13.0,2,11185,9167,6169,3283,1250,1214,1,0,10.0
ALB,19.0,70th Anniversary,2019,19.0,NaT,25.5,44.7,35.0,12.0,2,9193,8708,4405,3189,1250,1214,1,0,9.0
ALB,20.0,70th Anniversary,2019,20.0,NaT,25.2,44.8,35.1,11.0,2,8666,8612,4153,2926,1250,1214,1,0,8.0
ALB,21.0,70th Anniversary,2019,21.0,NaT,25.3,44.9,34.8,10.0,2,8493,8524,4095,2870,1250,1214,1,0,7.0
ALB,22.0,70th Anniversary,2019,22.0,NaT,25.2,44.9,35.0,10.0,2,8016,8390,3801,2732,1250,1214,1,0,6.0
ALB,23.0,70th Anniversary,2019,23.0,NaT,25.7,45.8,34.7,10.0,2,7980,8369,3720,2780,1250,1214,1,0,5.0
ALB,24.0,70th Anniversary,2019,24.0,NaT,25.7,45.8,33.8,10.0,2,8213,8346,3953,2871,1250,1214,1,0,4.0
ALB,25.0,70th Anniversary,2019,25.0,NaT,25.8,45.8,34.0,10.0,2,8255,8376,3992,2849,1250,1214,1,0,3.0
ALB,26.0,70th Anniversary,2019,26.0,NaT,25.7,45.7,33.8,10.0,2,8554,8512,4185,2866,1250,1214,1,0,2.0
ALB,27.0,70th Anniversary,2019,27.0,NaT,25.5,45.6,34.0,10.0,2,8431,8406,4146,2866,1250,1214,1,0,1.0
ALB,28.0,70th Anniversary,2019,28.0,0 days 01:12:18.876000,25.0,45.9,35.2,10.0,2,10284,8315,4035,5017,414,1214,1,0,
ALB,29.0,70th Anniversary,2019,1.0,NaT,25.0,46.2,35.4,15.0,0,18710,13788,3845,2555,1250,363,1,0,
ALB,30.0,70th Anniversary,2019,2.0,NaT,25.4,46.1,35.2,15.0,0,7570,8098,3577,2649,1250,1214,1,0,
ALB,31.0,70th Anniversary,2019,3.0,NaT,25.6,44.8,35.0,15.0,0,7766,8131,3696,2755,1250,1214,1,0,
ALB,32.0,70th Anniversary,2019,4.0,NaT,26.1,44.7,33.0,15.0,0,8129,8245,4036,2777,1250,1214,1,0,
ALB,33.0,70th Anniversary,2019,5.0,NaT,26.1,45.0,32.9,15.0,0,7974,8152,3785,2925,1250,1214,1,0,
ALB,34.0,70th Anniversary,2019,6.0,NaT,26.1,45.6,32.6,15.0,0,8005,8138,3782,2986,1250,1214,1,0,
ALB,35.0,70th Anniversary,2019,7.0,NaT,25.8,45.6,32.5,15.0,0,10330,10200,4424,2858,1250,1214,1,0,
ALB,36.0,70th Anniversary,2019,8.0,NaT,25.6,45.4,33.0,15.0,0,8217,8176,4195,2799,1250,1214,1,0,
ALB,37.0,70th Anniversary,2019,9.0,NaT,25.3,45.0,33.4,14.0,0,7891,8030,4015,2712,1250,1214,1,0,
ALB,38.0,70th Anniversary,2019,10.0,NaT,24.8,45.0,34.7,14.0,0,8249,8077,4244,2890,1250,1214,1,0,
ALB,39.0,70th Anniversary,2019,11.0,NaT,24.8,45.2,34.7,13.0,0,8315,8142,4105,3038,1250,1214,1,0,
ALB,40.0,70th Anniversary,2019,12.0,NaT,24.8,42.8,34.9,13.0,0,8097,8302,3870,2849,1250,1214,1,0,
ALB,41.0,70th Anniversary,2019,13.0,NaT,25.1,42.7,33.9,13.0,0,8159,8141,4001,2959,1250,1214,1,0,
ALB,42.0,70th Anniversary,2019,14.0,NaT,25.1,42.0,34.7,13.0,0,7982,8163,3964,2745,1250,1214,1,0,
ALB,43.0,70th Anniversary,2019,15.0,NaT,25.8,43.4,31.0,13.0,0,7807,8061,3934,2649,1250,1214,1,0,
ALB,44.0,70th Anniversary,2019,16.0,NaT,26.2,43.9,30.1,13.0,0,8076,8229,4099,2669,1250,1214,1,0,
ALB,45.0,70th Anniversary,2019,17.0,NaT,26.1,44.0,30.5,13.0,0,8004,8090,4025,2787,1250,1214,1,0,
ALB,46.0,70th Anniversary,2019,18.0,NaT,25.9,44.0,31.0,13.0,0,8108,8044,4109,2886,1250,1214,1,0,
ALB,47.0,70th Anniversary,2019,19.0,NaT,25.7,44.2,31.8,11.0,0,7808,7994,3930,2719,1250,1214,1,0,
ALB,48.0,70th Anniversary,2019,20.0,NaT,25.7,44.2,32.3,11.0,0,7666,8050,3775,2620,1250,1214,1,0,
ALB,49.0,70th Anniversary,2019,21.0,NaT,25.8,44.7,32.6,12.0,0,8308,8200,4179,2898,1250,1214,1,0,
ALB,50.0,70th Anniversary,2019,22.0,NaT,26.1,44.6,32.1,12.0,0,7575,8048,3669,2616,1250,1214,1,0,
ALB,51.0,70th Anniversary,2019,23.0,NaT,25.9,44.4,32.5,12.0,0,7791,8060,3904,2653,1250,1214,1,0,
ALB,52.0,70th Anniversary,2019,24.0,NaT,26.0,44.7,32.0,12.0,0,7584,8004,3747,2592,1250,1214,1,0,
ALB,53.0,70th Anniversary,2019,25.0,NaT,26.3,44.8,31.4,12.0,0,7591,7892,3840,2620,1250,1214,1,0,
ALB,54.0,70th Anniversary,2019,26.0,NaT,26.3,44.7,31.8,12.0,0,7828,7917,4081,2668,1250,1214,1,0,
ALB,55.0,70th Anniversary,2019,27.0,NaT,26.3,44.4,32.5,12.0,0,7595,7759,3949,2654,1250,1214,1,0,
ALB,56.0,70th Anniversary,2019,28.0,NaT,26.0,42.4,31.8,12.0,0,9694,8861,5414,2603,1250,1214,1,0,
